Name, time, alt, az
STARLINK-1344           , 2020-06-05 04:30:00+01:00, 60.22, 228.45
STARLINK-1331           , 2020-06-05 04:30:00+01:00, 62.13, 187.37
STARLINK-1346           , 2020-06-05 04:31:00+01:00, 61.99, 190.76
STARLINK-1328           , 2020-06-05 04:31:00+01:00, 59.45, 228.37
STARLINK-1343           , 2020-06-05 04:31:00+01:00, 53.18, 157.59
STARLINK-1308           , 2020-06-05 04:32:00+01:00, 51.82, 149.06
STARLINK-1354           , 2020-06-05 04:32:00+01:00, 53.43, 160.43
STARLINK-1357           , 2020-06-05 04:32:00+01:00, 58.47, 229.02
STARLINK-1347           , 2020-06-05 04:32:00+01:00, 60.85, 191.20
STARLINK-66             , 2020-06-05 04:33:00+01:00, 68.31, 358.62
STARLINK-1327           , 2020-06-05 04:33:00+01:00, 60.17, 193.64
STARLINK-1335           , 2020-06-05 04:33:00+01:00, 53.06, 161.87
STARLINK-1340           , 2020-06-05 04:33:00+01:00, 56.15, 234.76
STARLINK-1390           , 2020-06-05 04:34:00+01:00, 77.41, 211.71
STARLINK-1355           , 2020-06-05 04:34:00+01:00, 56.49, 230.39
STARLINK-1356           , 2020-06-05 04:34:00+01:00, 53.17, 164.55
STARLINK-1345           , 2020-06-05 04:34:00+01:00, 59.58, 198.28
STARLINK-1358           , 2020-06-05 04:35:00+01:00, 58.70, 196.53
STARLINK-1321           , 2020-06-05 04:35:00+01:00, 52.68, 165.70
STARLINK-1332           , 2020-06-05 04:35:00+01:00, 55.34, 231.75
STARLINK-1278           , 2020-06-05 04:36:00+01:00, 55.37, 121.95
STARLINK-1348           , 2020-06-05 04:36:00+01:00, 52.59, 168.15
STARLINK-1363           , 2020-06-05 04:36:00+01:00, 54.56, 231.73
STARLINK-1330           , 2020-06-05 04:36:00+01:00, 58.00, 198.78
STARLINK-1365           , 2020-06-05 04:36:00+01:00, 69.16, 247.69
STARLINK-1272           , 2020-06-05 04:37:00+01:00, 74.10, 36.00
STARLINK-1280           , 2020-06-05 04:37:00+01:00, 57.81, 180.91
STARLINK-1342           , 2020-06-05 04:37:00+01:00, 57.27, 201.40
STARLINK-1337           , 2020-06-05 04:37:00+01:00, 52.03, 169.29
STARLINK-1364           , 2020-06-05 04:37:00+01:00, 53.48, 232.98
STARLINK-1361           , 2020-06-05 04:38:00+01:00, 52.53, 233.51
STARLINK-1376           , 2020-06-05 04:38:00+01:00, 51.88, 171.54
STARLINK-1360           , 2020-06-05 04:38:00+01:00, 56.56, 201.38
STARLINK-1367           , 2020-06-05 04:39:00+01:00, 52.24, 176.00
